id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-273P_Pons_Gambart,273P/Pons-Gambart,comet,10000,0,121238759,0,185.64,0.9750961432,136.3989719,0.8104310477,64.27,0.171765,-0.015365601977452497,long,high,high,0
comet-289P_Blanpain,289P/Blanpain,comet,1082,0,149400817,0,5.41,0.6757685739,5.931685399,0.9986827792,5.16,0.016462,-0.16237238316241023,short,medium,low,0
comet-294P_LINEAR,294P/LINEAR,comet,1146,0,194138340,0,5.73,0.5945159337,19.0857983,1.297734649,5.1,0.393614,-0.1563053260041514,short,medium,medium,0
comet-300P_Catalina,300P/Catalina,comet,884,0,123564816,0,4.42,0.693462168,5.691470921,0.8259797783,4.56,0.024454,-0.18566723997534845,short,medium,low,0
comet-306P_LINEAR,306P/LINEAR,comet,1094,0,186536358,0,5.47,0.5982594907,8.364457777,1.246918534,4.96,0.239208,-0.1611105405238109,short,medium,low,0
comet-317P_WISE,317P/WISE,comet,1002,0,179276664,0,5.01,0.5904467346,10.64556918,1.198390481,4.65,0.203854,-0.17098721490104962,short,medium,medium,0
comet-C_1906_V1__Thiele_,C/1906 V1 (Thiele),comet,10000,0,180805612,0,114.56,0.9487613645,56.03318114,1.208610867,45.97,0.230296,-0.021196045869580057,long,high,high,0
comet-C_1921_H1__Dubiago_,C/1921 H1 (Dubiago),comet,3876,0,164310674,0,19.38,0.8477830042,22.07043089,1.098349017,13.33,0.367524,-0.0693079990525433,short,high,medium,0
comet-D_1978_R1__Haneda_Campos_,D/1978 R1 (Haneda-Campos),comet,1194,0,164769743,0,5.97,0.6652319399,5.947329619,1.101417705,5.48,0.13492,-0.15194294676666475,short,medium,low,0
comet-C_1991_L3__Levy_,C/1991 L3 (Levy),comet,10000,0,146988805,0,51.28,0.9288178631,19.19030997,0.9825594709,26.62,0.074988,-0.036228524425579084,medium,high,medium,0
comet-P_1999_J6__SOHO_,P/1999 J6 (SOHO),comet,1092,0.2,7339006,1,5.46,0.9841773128,26.6131418,0.04905822804,6.15,0.010175,-0.16131482609353986,short,high,medium,0
comet-P_1999_R1__SOHO_,P/1999 R1 (SOHO),comet,802,0.2,8528971,0,4.01,0.9774091221,13.67622884,0.0570126508,4.99,0.076579,-0.19813701078032572,short,high,medium,0
comet-P_1999_RO28__LONEOS_,P/1999 RO28 (LONEOS),comet,1324,0,184268488,0,6.62,0.6507867331,8.191041706,1.231758765,5.82,0.247638,-0.14180859461093603,short,medium,low,0
comet-C_1999_X3__SOHO_,C/1999 X3 (SOHO),comet,844,0.2,7173403,1,4.22,0.9816398786,6.337569475,0.04795123414,5.18,0.031348,-0.19127951949316535,short,high,low,0
comet-C_2001_OG108__LONEOS_,C/2001 OG108 (LONEOS),comet,9700,0,148707446,0,48.5,0.925259301,80.24505505,0.9940478795,25.61,0.300836,-0.03758826493356898,medium,high,high,0
comet-C_2001_W2__BATTERS_,C/2001 W2 (BATTERS),comet,10000,0,157237032,0,75.91,0.9413734582,115.9130897,1.051064641,34.81,0.145327,-0.027885396320796868,medium,high,high,0
comet-C_2002_R5__SOHO_,C/2002 R5 (SOHO),comet,1154,0.2,7091179,1,5.77,0.985261262,14.12062881,0.04740160134,6.38,0.094044,-0.15558386763813198,short,high,medium,0
comet-P_2002_S7__SOHO_,P/2002 S7 (SOHO),comet,1158,0.2,7300162,1,5.79,0.9848618681,13.57497488,0.04879857033,6.4,0.114603,-0.15506764385553257,short,high,medium,0
comet-P_2003_T12__SOHO_,P/2003 T12 (SOHO),comet,824,0.1,85994832,0,4.12,0.7764221763,11.4758078,0.5748399462,4.57,0.154232,-0.194369506234806,short,high,medium,0
comet-P_2005_T4__SWAN_,P/2005 T4 (SWAN),comet,5688,0.1,97148773,0,28.44,0.930297059,160.0361801,0.6493994391,17.98,0.157261,-0.05367859566643715,medium,high,high,0
comet-P_2005_W4__SOHO_,P/2005 W4 (SOHO),comet,1062,0.2,8075347,0,5.31,0.9822675576,14.5962755,0.05398035994,6.03,0.107655,-0.16436607957916913,short,high,medium,0
comet-P_2006_HR30__Siding_Spring_,P/2006 HR30 (Siding Spring),comet,4372,0,183470973,0,21.86,0.8431183899,31.88449913,1.226427704,14.41,0.452907,-0.06395322633341546,medium,high,medium,0
comet-P_2007_T2__Kowalski_,P/2007 T2 (Kowalski),comet,1086,0,104099585,0,5.43,0.7748340855,9.895275619,0.695862748,5.49,0.156276,-0.1616589376030559,short,high,low,0
comet-P_2008_Y1__Boattini_,P/2008 Y1 (Boattini),comet,2102,0,190285431,0,10.51,0.7348817591,8.805148715,1.27197954,8.32,0.289617,-0.10425376699667147,short,high,low,0
comet-P_2008_Y12__SOHO_,P/2008 Y12 (SOHO),comet,1080,0.2,9785748,0,5.4,0.9787495375,23.34562318,0.06541368648,6.09,0.044832,-0.1624586178824082,short,high,medium,0
comet-P_2009_L2__Yang_Gao_,P/2009 L2 (Yang-Gao),comet,1264,0,193897653,0,6.32,0.6209298159,16.15851413,1.296125756,5.54,0.287493,-0.14628168581046216,short,medium,medium,0
comet-P_2009_WX51__Catalina_,P/2009 WX51 (Catalina),comet,1082,0,119671646,0,5.41,0.7402970341,9.592585691,0.7999555439,5.36,0.009227,-0.16233883392068743,short,high,low,0
comet-C_2010_L5__WISE_,C/2010 L5 (WISE),comet,4712,0,118317081,0,23.56,0.9037561917,147.051681,0.7909008329,15.64,0.113609,-0.060860935755736235,medium,high,high,0
comet-P_2011_NO1__Elenin_,P/2011 NO1 (Elenin),comet,2624,0,185939017,0,13.12,0.776521252,15.27233838,1.242925561,9.88,0.380652,-0.08990440460253296,short,high,medium,0
comet-C_2011_S2__Kowalski_,C/2011 S2 (Kowalski),comet,10000,0,166819300,0,65.83,0.9316035445,17.57253024,1.115118144,31.49,0.13779,-0.03067003148350868,medium,high,medium,0
comet-P_2012_NJ__La_Sagra_,P/2012 NJ (La Sagra),comet,4958,0,193264004,0,24.79,0.8480618337,84.37545937,1.291890069,15.71,0.315258,-0.058816990107666126,medium,high,high,0
comet-P_2013_CU129__PANSTARRS_,P/2013 CU129 (PANSTARRS),comet,978,0,119700391,0,4.89,0.7221050362,12.14763226,0.800147691,4.96,0.085523,-0.17360665969771225,short,high,medium,0
comet-P_2013_TL117__Lemmon_,P/2013 TL117 (Lemmon),comet,1368,0,167201363,0,6.84,0.6899137951,9.365636389,1.117672075,6.09,0.20162,-0.13874105114583754,short,medium,low,0
comet-P_2014_U2__Kowalski_,P/2014 U2 (Kowalski),comet,1004,0,174176543,0,5.02,0.6029487638,7.495593453,1.164298274,4.7,0.183671,-0.17052338630754987,short,medium,low,0
comet-P_2015_A3__PANSTARRS_,P/2015 A3 (PANSTARRS),comet,4190,0,172614582,0,20.95,0.8481676984,172.5137446,1.15385721,14.05,0.204591,-0.06577278293183865,medium,high,high,0
comet-C_2015_D1__SOHO_,C/2015 D1 (SOHO),comet,2196,0.2,4236770,1,10.98,0.9942677736,69.61628937,0.02832105639,9.85,0.515916,-0.10123177757551512,short,high,high,0
comet-C_2015_F2__Polonia_,C/2015 F2 (Polonia),comet,10000,0,180945240,0,182.45,0.9623991817,28.66103039,1.209544218,63.13,0.198704,-0.015542540938924375,long,high,medium,0
comet-C_2015_F5__SWAN_Xingming_,C/2015 F5 (SWAN-Xingming),comet,10000,0.1,51761631,0,61.26,0.9777341146,149.2569445,0.3460051321,30.73,0.441413,-0.03217916832453631,medium,high,high,0
