id,name,object_type,diameter_m,velocity_km_s,distance_km,is_hazardous,kinetic_energy_mt,threat_level,size_category,period_years,eccentricity,inclination_deg,moid_au,is_asteroid,is_comet
2003362,3362 Khufu (1984 QA),asteroid,850,30.0103355297,72881438.22636625,1,103823.74371775267,4,large,,,,,1,0
2003551,3551 Verenia (1983 RD),asteroid,1948,8.0029025934,12754488.578215236,0,88871.01187759497,4,huge,,,,,1,0
2003552,3552 Don Quixote (1983 SA),asteroid,10606,11.8518831198,90060440.67815797,0,31457759.924448073,4,huge,,,,,1,0
2003553,3553 Mera (1985 JA),asteroid,2257,20,100000,0,863282.3744769946,4,huge,,,,,1,0
comet-P_2004_R1__McNaught_,P/2004 R1 (McNaught),comet,1096,0,147532224,0,0,1,huge,5.48,0.682526943,4.894555854,0.027011,0,1
comet-P_2008_S1__Catalina_McNaught_,P/2008 S1 (Catalina-McNaught),comet,1348,0,178117441,0,0,1,huge,6.74,0.6663127807,15.1007464,0.194101,0,1
comet-1P_Halley,1P/Halley,comet,10000,0.1,87661078,0,1877.1466620397903,4,huge,75.32,0.9671429085,162.2626906,0.063782,0,1
comet-2P_Encke,2P/Encke,comet,660,0.1,50278705,0,0.5396721567497915,1,large,3.3,0.8482682514,11.77999525,0.173092,0,1
comet-3D_Biela,3D/Biela,comet,1330,0,131507449,0,0,1,huge,6.65,0.751299,13.2164,0.000518,0,1
comet-5D_Brorsen,5D/Brorsen,comet,1092,0.1,88239855,0,2.444365360385257,2,huge,5.46,0.809796,29.3821,0.366559,0,1
comet-7P_Pons_Winnecke,7P/Pons-Winnecke,comet,1264,0,185383901,0,0,1,huge,6.32,0.6375275046,22.33501476,0.224191,0,1
comet-8P_Tuttle,8P/Tuttle,comet,2722,0,153654454,0,0,1,huge,13.61,0.819799747,54.98318484,0.09531,0,1
comet-12P_Pons_Brooks,12P/Pons-Brooks,comet,10000,0,115738949,0,0,1,huge,70.85,0.9548123942,74.17689423,0.1873,0,1
comet-13P_Olbers,13P/Olbers,comet,10000,0,176293703,0,0,1,huge,69.52,0.9302971475,44.60988573,0.477199,0,1
comet-15P_Finlay,15P/Finlay,comet,1302,0,145992678,0,0,1,huge,6.51,0.7201837656,6.798912616,0.009433,0,1
comet-18D_Perrine_Mrkos,18D/Perrine-Mrkos,comet,1344,0,190325604,0,0,1,huge,6.72,0.6425809824,17.75898277,0.28923,0,1
comet-20D_Westphal,20D/Westphal,comet,10000,0,187597639,0,0,1,huge,61.87,0.919831189,40.89006106,0.468283,0,1
comet-21P_Giacobini_Zinner,21P/Giacobini-Zinner,comet,1318,0,154189968,0,0,1,huge,6.59,0.7068178874,31.90810099,0.035395,0,1
comet-23P_Brorsen_Metcalf,23P/Brorsen-Metcalf,comet,10000,0.1,71620386,0,1877.1466620397903,4,huge,70.52,0.9719522579,19.33394047,0.193872,0,1
comet-24P_Schaumasse,24P/Schaumasse,comet,1650,0,180266936,0,0,1,huge,8.25,0.7048003557,11.75152976,0.28218,0,1
comet-26P_Grigg_Skjellerup,26P/Grigg-Skjellerup,comet,1048,0,162350757,0,0,1,huge,5.24,0.6402771379,22.42889388,0.079476,0,1
comet-27P_Crommelin,27P/Crommelin,comet,5614,0,111942212,0,0,1,huge,28.07,0.9189810923,28.96687279,0.215189,0,1
comet-41P_Tuttle_Giacobini_Kresak,41P/Tuttle-Giacobini-Kresak,comet,1084,0,156745303,0,0,1,huge,5.42,0.6604126649,9.228028049,0.135384,0,1
comet-45P_Honda_Mrkos_Pajdusakova,45P/Honda-Mrkos-Pajdusakova,comet,1050,0.1,79251181,0,2.1730319046438122,2,huge,5.25,0.8246720759,4.252433261,0.060071,0,1
comet-46P_Wirtanen,46P/Wirtanen,comet,1086,0,157416167,0,0,1,huge,5.43,0.6592025614,11.75713931,0.068212,0,1
comet-55P_Tempel_Tuttle,55P/Tempel-Tuttle,comet,6648,0,146071537,0,0,1,huge,33.24,0.905552721,162.4865754,0.008481,0,1
comet-66P_du_Toit,66P/du Toit,comet,2942,0,190627596,0,0,1,huge,14.71,0.7877014869,18.70073632,0.430358,0,1
comet-67P_Churyumov_Gerasimenko,67P/Churyumov-Gerasimenko,comet,1288,0,185986309,0,0,1,huge,6.44,0.6409739314,7.040200902,0.257189,0,1
comet-72P_Denning_Fujikawa,72P/Denning-Fujikawa,comet,1806,0,117308847,0,0,1,huge,9.03,0.8191545266,9.16928387,0.085253,0,1
comet-73P_Schwassmann_Wachmann_3,73P/Schwassmann-Wachmann 3,comet,1068,0,139540524,0,0,1,huge,5.34,0.6948269106,11.4234876,0.045198,0,1
comet-73P_Schwassmann_Wachmann_3_B,73P/Schwassmann-Wachmann 3-B,comet,1072,0,140489011,0,0,1,huge,5.36,0.6932855208,11.39695195,0.04071,0,1
comet-73P_Schwassmann_Wachmann_3_C,73P/Schwassmann-Wachmann 3-C,comet,1072,0,141049344,0,0,1,huge,5.36,0.6922258013,11.37915706,0.038373,0,1
comet-73P_Schwassmann_Wachmann_3_E,73P/Schwassmann-Wachmann 3-E,comet,1072,0,140238578,0,0,1,huge,5.36,0.6938774628,11.40562118,0.041033,0,1
comet-73P_Schwassmann_Wachmann_3_G,73P/Schwassmann-Wachmann 3-G,comet,1072,0,140499916,0,0,1,huge,5.36,0.6934129712,11.38956229,0.04054,0,1
comet-73P_Schwassmann_Wachmann_3_H,73P/Schwassmann-Wachmann 3-H,comet,1074,0,140497759,0,0,1,huge,5.37,0.6935658067,11.3910639,0.04055,0,1
comet-73P_Schwassmann_Wachmann_3_J,73P/Schwassmann-Wachmann 3-J,comet,1062,0,140475423,0,0,1,huge,5.31,0.6915388167,11.38026546,0.040713,0,1
comet-73P_Schwassmann_Wachmann_3_K,73P/Schwassmann-Wachmann 3-K,comet,1072,0,140483896,0,0,1,huge,5.36,0.6935434852,11.39106462,0.040579,0,1
comet-73P_Schwassmann_Wachmann_3_L,73P/Schwassmann-Wachmann 3-L,comet,1080,0,140485774,0,0,1,huge,5.4,0.694735675,11.3987128,0.040654,0,1
comet-73P_Schwassmann_Wachmann_3_M,73P/Schwassmann-Wachmann 3-M,comet,1074,0,140486884,0,0,1,huge,5.37,0.6939409383,11.39436144,0.040589,0,1
comet-73P_Schwassmann_Wachmann_3_N,73P/Schwassmann-Wachmann 3-N,comet,1066,0,140510452,0,0,1,huge,5.33,0.6922889938,11.38094121,0.040527,0,1
comet-73P_Schwassmann_Wachmann_3_P,73P/Schwassmann-Wachmann 3-P,comet,1084,0,140496208,0,0,1,huge,5.42,0.6955758994,11.40542193,0.04065,0,1
comet-73P_Schwassmann_Wachmann_3_Q,73P/Schwassmann-Wachmann 3-Q,comet,1102,0,140579475,0,0,1,huge,5.51,0.6986472444,11.4193581,0.040746,0,1
comet-73P_Schwassmann_Wachmann_3_R,73P/Schwassmann-Wachmann 3-R,comet,1076,0,140492080,0,0,1,huge,5.38,0.6940882133,11.3947263,0.04058,0,1
comet-73P_Schwassmann_Wachmann_3_S,73P/Schwassmann-Wachmann 3-S,comet,1218,0,152943863,0,0,1,huge,6.09,0.6933582332,11.04818134,0.007355,0,1
comet-73P_Schwassmann_Wachmann_3_T,73P/Schwassmann-Wachmann 3-T,comet,1178,0,140520089,0,0,1,huge,5.89,0.7119324141,11.51229958,0.041618,0,1
comet-73P_Schwassmann_Wachmann_3_U,73P/Schwassmann-Wachmann 3-U,comet,1052,0,140530793,0,0,1,huge,5.26,0.6893974588,11.35982065,0.040297,0,1
comet-73P_Schwassmann_Wachmann_3_V,73P/Schwassmann-Wachmann 3-V,comet,1026,0,136464185,0,0,1,huge,5.13,0.6934869706,11.65182376,0.043636,0,1
comet-73P_Schwassmann_Wachmann_3_W,73P/Schwassmann-Wachmann 3-W,comet,1094,0,140491105,0,0,1,huge,5.47,0.6975732498,11.41831799,0.040799,0,1
comet-73P_Schwassmann_Wachmann_3_X,73P/Schwassmann-Wachmann 3-X,comet,1080,0,140484772,0,0,1,huge,5.4,0.6947512888,11.39938737,0.040651,0,1
comet-73P_Schwassmann_Wachmann_3_Y,73P/Schwassmann-Wachmann 3-Y,comet,1226,0,140497195,0,0,1,huge,6.13,0.7195023037,11.56184126,0.042145,0,1
comet-73P_Schwassmann_Wachmann_3_Z,73P/Schwassmann-Wachmann 3-Z,comet,1076,0,140927052,0,0,1,huge,5.38,0.6933582332,11.34947201,0.040223,0,1
comet-73P_Schwassmann_Wachmann_3_AA,73P/Schwassmann-Wachmann 3-AA,comet,1008,0,140514966,0,0,1,huge,5.04,0.6806338789,11.29506494,0.039837,0,1
comet-73P_Schwassmann_Wachmann_3_AB,73P/Schwassmann-Wachmann 3-AB,comet,1062,0,140497283,0,0,1,huge,5.31,0.6912468087,11.37319386,0.040615,0,1
comet-73P_Schwassmann_Wachmann_3_AC,73P/Schwassmann-Wachmann 3-AC,comet,1082,0,140479170,0,0,1,huge,5.41,0.6953671146,11.40528019,0.040807,0,1
comet-73P_Schwassmann_Wachmann_3_AD,73P/Schwassmann-Wachmann 3-AD,comet,1074,0,140727818,0,0,1,huge,5.37,0.6933582332,11.36836584,0.040376,0,1
