asteroid_id,asteroid_name,approach_date,approach_date_full,velocity_km_s,distance_km,is_hazardous
3002856,(1991 GO),2025-10-01,2025-Oct-01 11:32,32.2956242356,70011871.98997998,true
3346460,(2006 SS134),2025-10-01,2025-Oct-01 04:39,18.9653044315,12154759.453900844,true
3471356,(2009 TJ4),2025-10-01,2025-Oct-01 02:55,16.3944524722,65592452.17819338,false
3730802,(2015 TT238),2025-10-01,2025-Oct-01 11:02,7.1652318372,13734683.71210966,false
3856710,(2019 SG4),2025-10-01,2025-Oct-01 15:13,13.4401664173,8333127.49470879,false
3994621,(2020 DT2),2025-10-01,2025-Oct-01 15:48,8.3918231939,20014314.85996984,false
54054367,(2020 SA),2025-10-01,2025-Oct-01 04:33,12.4891405545,8378998.495109659,false
54157355,(2021 LV2),2025-10-01,2025-Oct-01 00:31,19.4060797909,61892989.96280767,false
54235406,(2022 AG),2025-10-01,2025-Oct-01 21:45,3.2461444272,28616186.311296318,false
54253542,(2022 EG4),2025-10-01,2025-Oct-01 14:11,15.4244882247,50251557.767745726,false
54391010,(2023 TF1),2025-10-01,2025-Oct-01 13:00,10.5182170538,17827604.661682777,false
54395903,(2023 UJ1),2025-10-01,2025-Oct-01 23:50,17.3404565887,42520024.389117256,false
54415896,(2023 XU10),2025-10-01,2025-Oct-01 13:01,8.3011856102,12062148.46899185,false
54543546,(2025 QL23),2025-10-01,2025-Oct-01 22:54,9.9557897302,2729884.206882843,false
54546120,(2025 SZ),2025-10-01,2025-Oct-01 09:24,1.9895768752,3464848.38449747,false
54548206,(2025 SQ12),2025-10-01,2025-Oct-01 08:16,12.8515520845,6546238.951612776,false
54549109,(2025 SY21),2025-10-01,2025-Oct-01 20:07,20.5382519481,1707958.13380065,false
54549128,(2025 SJ27),2025-10-01,2025-Oct-01 05:06,7.4810273762,11092754.585547376,false
54549684,(2025 TB),2025-10-01,2025-Oct-01 15:24,11.8540669258,1363936.514039175,false
54549695,(2025 TF),2025-10-01,2025-Oct-01 00:49,20.8761143007,6780.463618602,false
54550509,(2025 TP),2025-10-01,2025-Oct-01 21:17,14.7102960698,107633.498295885,false
54550511,(2025 TQ),2025-10-01,2025-Oct-01 03:33,10.076224703,310790.188276267,false
54550518,(2025 TW),2025-10-01,2025-Oct-01 22:51,12.4735360388,10501167.63946326,false
3789115,(2017 VV1),2025-09-30,2025-Sep-30 02:12,21.5089392584,29445959.30588683,false
