asteroid_id,diameter_m,velocity_km_s,distance_km,kinetic_energy_mt,is_hazardous,absolute_magnitude,approach_parameter,gravity_influence,orbit_uncertainty,moid,inclination,eccentricity
54545775,47.05,9.498,7863982.29,1.763552,0,24.80,1234.340338,0.00081015,9,1.000000,0.0000,0.000000
54546842,28.34,5.467,7372775.73,0.127653,0,25.91,1157.239951,0.00086413,9,1.000000,0.0000,0.000000
54548705,14.39,10.903,1912928.65,0.066435,0,27.38,300.255635,0.00333050,9,1.000000,0.0000,0.000000
54549677,22.40,8.620,2610822.28,0.156873,0,26.42,409.797879,0.00244023,9,1.000000,0.0000,0.000000
54550501,21.13,11.760,1461418.02,0.244998,0,26.54,229.385970,0.00435946,9,1.000000,0.0000,0.000000
54550503,72.97,19.679,18357559.17,28.243233,0,23.85,2881.425078,0.00034705,9,1.000000,0.0000,0.000000
54550512,8.53,13.543,1094714.67,0.021368,0,28.51,171.827761,0.00581978,9,1.000000,0.0000,0.000000
54550515,25.37,13.406,10635137.50,0.550959,0,26.15,1669.304269,0.00059905,9,1.000000,0.0000,0.000000
3388395,28.41,7.117,17557806.19,0.218119,0,25.90,2755.894866,0.00036286,9,1.000000,0.0000,0.000000
3557843,298.91,6.111,22164403.05,187.237165,1,20.79,3478.951978,0.00028744,9,1.000000,0.0000,0.000000
3648537,128.10,11.970,18915604.31,56.532006,0,22.63,2969.016530,0.00033681,9,1.000000,0.0000,0.000000
3767014,10.32,10.031,20337921.98,0.020740,0,28.10,3192.265261,0.00031326,9,1.000000,0.0000,0.000000
3840718,9.85,3.966,29419143.63,0.002823,0,28.20,4617.664987,0.00021656,9,1.000000,0.0000,0.000000
3869336,24.07,8.444,7655214.78,0.186734,0,26.26,1201.571933,0.00083224,9,1.000000,0.0000,0.000000
54054711,31.16,19.737,67962783.19,2.211607,0,25.70,10667.522082,0.00009374,9,1.000000,0.0000,0.000000
54076927,27.14,18.985,31208526.60,1.351970,0,26.00,4898.528740,0.00020414,9,1.000000,0.0000,0.000000
54209492,18.52,12.004,35503766.70,0.171702,0,26.83,5572.714912,0.00017945,9,1.000000,0.0000,0.000000
54293660,59.64,17.105,56960345.56,11.651728,0,24.29,8940.565933,0.00011185,9,1.000000,0.0000,0.000000
54312925,36.10,9.763,15221666.96,0.842004,0,25.38,2389.211577,0.00041855,9,1.000000,0.0000,0.000000
54360101,17.04,16.816,51742746.27,0.262759,0,27.01,8121.605128,0.00012313,9,1.000000,0.0000,0.000000
54403822,58.28,24.621,65646598.74,22.528351,0,24.34,10303.970921,0.00009705,9,1.000000,0.0000,0.000000
54487286,72.70,12.133,62466904.94,10.618582,0,23.86,9804.882270,0.00010199,9,1.000000,0.0000,0.000000
54537922,359.37,7.351,10021434.60,470.831822,0,20.39,1572.976707,0.00063574,9,1.000000,0.0000,0.000000
54546122,30.53,8.645,7920819.25,0.399303,0,25.74,1243.261537,0.00080434,9,1.000000,0.0000,0.000000
54546124,24.24,8.716,1930173.65,0.203115,0,26.25,302.962432,0.00330074,9,1.000000,0.0000,0.000000
54547356,11.31,7.956,104351.61,0.017175,0,27.90,16.379156,0.06105321,9,1.000000,0.0000,0.000000
54547368,35.30,20.510,2816369.92,3.472622,0,25.43,442.060889,0.00226213,9,1.000000,0.0000,0.000000
54548204,52.91,16.547,17578818.48,7.612963,0,24.55,2759.192981,0.00036242,9,1.000000,0.0000,0.000000
54548706,9.01,9.564,136891.07,0.012542,0,28.39,21.486591,0.04654065,9,1.000000,0.0000,0.000000
54549106,2.34,8.129,233993.52,0.000159,0,31.32,36.727911,0.02722725,9,1.000000,0.0000,0.000000
3002856,410.72,32.296,70011871.99,13564.800871,1,20.10,10989.149582,0.00009100,9,1.000000,0.0000,0.000000
3346460,217.54,18.965,12154759.45,695.097446,1,21.48,1907.826001,0.00052416,9,1.000000,0.0000,0.000000
3471356,25.91,16.394,65592452.18,0.878051,0,26.10,10295.472010,0.00009713,9,1.000000,0.0000,0.000000
3730802,51.71,7.165,13734683.71,1.332253,0,24.60,2155.812857,0.00046386,9,1.000000,0.0000,0.000000
3856710,47.37,13.440,8333127.49,3.605250,0,24.79,1307.977946,0.00076454,9,1.000000,0.0000,0.000000
3994621,12.99,8.392,20014314.86,0.028963,0,27.60,3141.471490,0.00031832,9,1.000000,0.0000,0.000000
54054367,59.37,12.489,8378998.50,6.126200,0,24.30,1315.177915,0.00076035,9,1.000000,0.0000,0.000000
54157355,37.98,19.406,61892989.96,3.872591,0,25.27,9714.799869,0.00010294,9,1.000000,0.0000,0.000000
54235406,40.70,3.246,28616186.31,0.133310,0,25.12,4491.631818,0.00022264,9,1.000000,0.0000,0.000000
54253542,54.64,15.424,50251557.77,7.286980,0,24.48,7887.546346,0.00012678,9,1.000000,0.0000,0.000000
54391010,40.51,10.518,17827604.66,1.380417,0,25.13,2798.242766,0.00035737,9,1.000000,0.0000,0.000000
