id,name,diameter_meters,diameter_km,is_hazardous,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,total_approaches,nasa_jpl_url,orbit_id,orbit_uncertainty,minimum_orbit_intersection,eccentricity,semi_major_axis,inclination,orbital_period,perihelion_distance,aphelion_distance,mean_anomaly,mean_motion,orbit_class_type,orbit_class_description,orbit_class_range,estimated_mass_kg,kinetic_energy_mt,potential_crater_km,threat_category
3388887,(2007 US),121.77,0.1218,false,false,22.74,2025-10-09,14.0431032706,61796378.05766446,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3388887,,,,,,,,,,,,,,,2836271021,66.8424,3.24,REGIONAL
3612164,(2012 TA259),364.37,0.3644,false,false,20.36,2025-10-09,36.4366286631,70170345.77088325,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3612164,,,,,,,,,,,,,,,75988474788,12055.9775,11.89,GLOBAL
3789121,(2017 VW1),330.78,0.3308,false,false,20.57,2025-10-09,17.5036173252,29656442.790907055,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3789121,,,,,,,,,,,,,,,56852259226,2081.5252,7.66,GLOBAL
3831876,(2018 UC),28.41,0.0284,false,false,25.9,2025-10-09,24.7638154344,73660759.01018396,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3831876,,,,,,,,,,,,,,,36036925,2.6410,1.45,LOCAL
54051399,(2020 QU5),31.44,0.0314,false,false,25.68,2025-10-09,13.6340013055,2713951.15110041,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051399,,,,,,,,,,,,,,,48836859,1.0849,1.16,LOCAL
54101717,(2020 YB3),19.12,0.0191,false,false,26.76,2025-10-09,14.1555974019,64000008.164002985,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54101717,,,,,,,,,,,,,,,10983676,0.2630,0.81,MINIMAL
54190785,(2021 QE2),54.39,0.0544,false,false,24.49,2025-10-09,9.7442348048,16077901.661132663,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54190785,,,,,,,,,,,,,,,252782921,2.8683,1.48,LOCAL
54489167,(2024 TT5),50.76,0.0508,false,false,24.64,2025-10-09,14.2780978485,28416562.270297475,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54489167,,,,,,,,,,,,,,,205469672,5.0057,1.70,LOCAL
54535145,(2025 MJ2),211.61,0.2116,false,false,21.54,2025-10-09,12.7509438424,10978714.483669806,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54535145,,,,,,,,,,,,,,,14884961909,289.2083,4.68,CONTINENTAL
54548209,(2025 ST14),36.10,0.0361,false,false,25.38,2025-10-09,5.7413778592,15710501.918472892,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54548209,,,,,,,,,,,,,,,73917578,0.2912,0.83,MINIMAL
